,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
82,STS-135,STS-135,https://en.wikipedia.org/wiki/STS-135," ISS logistics
"," 12 days, 18 hours, 28 minutes, 50 seconds<ref name=""flight plan"" />
","
"," {{OV|104}}
","
","
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|21 July 2011, 09:57|timezone=yes}}&nbsp;UTC
"," [[Shuttle Landing Facility]]<ref name=""flight plan"">{{cite web|url=http://www.nasa.gov/mission_pages/shuttle/main/index.html |title=NASA - Landing|publisher= NASA| accessdate = 21 July 2011}}</ref>

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
","
","
"," 51.6 degrees <!-- anticipated due to ISS mission --->

","
"," gee
"," 4
"," [[Christopher Ferguson]]<br />[[Douglas Hurley]]<br />[[Sandra Magnus]]<br />[[Rex Walheim]]
"
83,Expedition 32,Expedition_32,https://en.wikipedia.org/wiki/Expedition_32," ISS Expedition
","
"," 

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 31/32''':<br/>[[Gennady Padalka]]<br/>[[Joseph M. Acaba]]<br/>[[Sergei Revin]]<br/><br/>'''Expedition 32/33''':<br/>[[Sunita Williams]]<br/>[[Yuri Malenchenko]]<br/>[[Akihiko Hoshide]]

"
84,Expedition 35,Expedition_35,https://en.wikipedia.org/wiki/Expedition_35," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6 
"," '''Expedition 34/35''':<br/>[[Chris Hadfield]]<br/>[[Thomas Marshburn]]<br/>[[Roman Romanenko]]<br/><br/>'''Expedition 35/36''':<br/>[[Christopher Cassidy]]<br/>[[Pavel Vinogradov]]<br/>[[Aleksandr Misurkin]]

"
85,Expedition 36,Expedition_36,https://en.wikipedia.org/wiki/Expedition_36," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 35/36''':<br/>[[Pavel Vinogradov]]<br/>[[Aleksandr Misurkin]]<br/>[[Chris Cassidy]]<br/><br/>'''Expedition 36/37''':<br/>[[Karen L. Nyberg]]<br/>[[Fyodor Yurchikhin]]<br/>[[Luca Parmitano]]

"
86,Voskhod 2,Voskhod_2,https://en.wikipedia.org/wiki/Voskhod_2," 
"," 1&nbsp;day, 2&nbsp;hours, 2&nbsp;minutes, 17&nbsp;seconds
"," 17

"," [[Voskhod (spacecraft)|Voskhod-3KD]] No.4
"," {{convert|5682|kg|lb}}
","

"," [[Voskhod (rocket)|Voskhod]] 11A57
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]<ref>{{cite web |url=http://www.astronautix.com/sites/baiurlc1.htm |title=Baikonur LC1 |accessdate=2009-03-04 |publisher=Encyclopedia Astronautica |deadurl=yes |archiveurl=https://web.archive.org/web/20090415160730/http://www.astronautix.com/sites/baiurlc1.htm |archivedate=2009-04-15 |df= }}</ref>

"," {{end-date|March 19, 1965, 09:02:17|timezone=yes}}&nbsp;UTC 
"," {{Coord|59|34|N|55|28|E}}

"," 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|167|km|mi}} 
"," {{convert|475|km|mi}} 
"," 64.8&nbsp;degrees
"," 90.9&nbsp;min 
"," gee

"," 2
"," [[Pavel Belyayev]]<br/>[[Alexey Leonov]]
"
87,Soyuz 5,Soyuz_5,https://en.wikipedia.org/wiki/Soyuz_5," Test flight
"," 3&nbsp;days, 54&nbsp;minutes, 15&nbsp;seconds
"," 49

"," 
"," {{convert|6585|kg|lb}}
","

"," [[Soyuz (rocket)|Soyuz]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]<ref>{{cite web |url=http://www.astronautix.com/sites/baiurlc1.htm |title=Baikonur LC1 |accessdate=2009-03-04 |publisher=Encyclopedia Astronautica |deadurl=yes |archiveurl=https://web.archive.org/web/20090415160730/http://www.astronautix.com/sites/baiurlc1.htm |archivedate=2009-04-15 |df= }}</ref>

"," {{end-date|18 January 1969, 07:59:12|timezone=yes}}&nbsp;UTC
","

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|196|km|mi}}
"," {{convert|212|km|mi}}
"," 51.7&nbsp;degrees
"," 88.6&nbsp;minutes
"," gee

"," 3 up<br/>1 down
"," [[Boris Volynov]]
"
88,Soyuz 4,Soyuz_4,https://en.wikipedia.org/wiki/Soyuz_4," Test flight
"," 2&nbsp;days, 23&nbsp;hours, 20&nbsp;minutes, 47&nbsp;seconds
"," 48

"," 
"," {{convert|6625|kg|lb}}
","

"," [[Soyuz (rocket)|Soyuz]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 31|31/6]]<ref>{{cite web |url=http://www.astronautix.com/sites/bairlc31.htm |title=Baikonur LC31 |accessdate=2009-03-04 |publisher=Encyclopedia Astronautica}}</ref>

"," {{end-date|17 January 1969, 06:50:47|timezone=yes}}&nbsp;UTC
","

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|213|km|mi|sp=us}}
"," {{convert|224|km|mi|sp=us}}
"," 51.7&nbsp;degrees
"," 88.8&nbsp;minutes
"," gee

"," 1 up<br/>3 down
"," [[Vladimir Shatalov]]
"
89,Soyuz 12,Soyuz_12,https://en.wikipedia.org/wiki/Soyuz_12," Test flight
"," 1&nbsp;day, 23&nbsp;hours, 15&nbsp;minutes, 32&nbsp;seconds
"," 31

"," 
"," {{convert|6720|kg|lb}}
","

"," [[Soyuz (rocket)|Soyuz]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]<ref>{{cite web |url=http://www.astronautix.com/sites/baiurlc1.htm |title=Baikonur LC1 |accessdate=4 March 2009 |publisher=Encyclopedia Astronautica |deadurl=yes |archiveurl=https://web.archive.org/web/20090415160730/http://www.astronautix.com/sites/baiurlc1.htm |archivedate=15 April 2009 |df=dmy-all }}</ref>

"," {{end-date|29 September 1973, 11:33:48|timezone=yes}}&nbsp;UTC
"," {{coord|47|42|N|69|00|E}}

"," 28 September 1973<ref name=satcat />
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|306|km|mi}}
"," {{convert|348|km|mi}}
"," 51.0&nbsp;degrees
"," 91.0&nbsp;minutes
"," gee

"," 2
"," [[Vasili Lazarev]]<br/>[[Oleg Grigoryevich Makarov|Oleg Makarov]]
"
90,Soyuz 26,Soyuz_26,https://en.wikipedia.org/wiki/Soyuz_26," 
"," 37&nbsp;days, 10&nbsp;hours, 6&nbsp;minutes, 18&nbsp;seconds
"," 1,522

"," 
"," {{convert|6800|kg|lb}}
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]<ref>{{cite web |url=http://www.astronautix.com/sites/baiurlc1.htm |title=Baikonur LC1 |accessdate=2009-03-04 |publisher=Encyclopedia Astronautica |deadurl=yes |archiveurl=https://web.archive.org/web/20090415160730/http://www.astronautix.com/sites/baiurlc1.htm |archivedate=2009-04-15 |df= }}</ref>

"," {{end-date|16 January 1978, 11:24:58|timezone=yes}}&nbsp;UTC
"," {{convert|265|km|mi}} W of Tselinograd

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|193|km|mi}}
"," {{convert|246|km|mi}}
"," 51.65&nbsp;degrees
"," 88.67&nbsp;minutes
"," gee

"," 2
",NaN
91,Soyuz 29,Soyuz_29,https://en.wikipedia.org/wiki/Soyuz_29," 
"," 79&nbsp;days, 15&nbsp;hours, 23&nbsp;minutes, 49&nbsp;seconds
","

"," 
"," {{convert|6800|kg|lb}}
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]<ref>{{cite web |url=http://www.astronautix.com/sites/baiurlc1.htm |title=Baikonur LC1 |accessdate=2009-03-04 |publisher=Encyclopedia Astronautica |deadurl=yes |archiveurl=https://web.archive.org/web/20090415160730/http://www.astronautix.com/sites/baiurlc1.htm |archivedate=2009-04-15 |df= }}</ref>

"," {{end-date|3 September 1978, 11:40:34|timezone=yes}}&nbsp;UTC
"," {{coord|46|N|69|E}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|197.8|km|mi}}
"," {{convert|266|km|mi}}
"," 51.65&nbsp;degrees
"," 88.86&nbsp;minutes
"," gee

"," 2
",NaN
92,Soyuz 32,Soyuz_32,https://en.wikipedia.org/wiki/Soyuz_32," 
"," 107 days
"," 2,755

"," 
"," 
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|June 13, 1979, 16:18:26|timezone=yes}}&nbsp;UTC
"," {{convert|170|km|mi}} SE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
","  
","  
"," 
"," 
"," gee

"," 2 up<br/>None down
",NaN
93,Soyuz T-5     ,Soyuz_T-5,https://en.wikipedia.org/wiki/Soyuz_T-5," 
"," 16&nbsp;days, 5&nbsp;hours, 6&nbsp;minutes, 11&nbsp;seconds 
","

"," 
"," {{convert|6850|kg|lb}}
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|August 27, 1982, 15:04:16|timezone=yes}}&nbsp;UTC
"," {{convert|225|km|mi}} E of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|190|km|mi}}
"," {{convert|231|km|mi}}
"," 51.6&nbsp;degrees
"," 89.7&nbsp;minutes
"," gee

"," 2 up<br/>3 down
",NaN
94,Soyuz T-9,Soyuz_T-9,https://en.wikipedia.org/wiki/Soyuz_T-9," 
"," 149&nbsp;days, 10&nbsp;hours, 45&nbsp;minutes, 
"," 2,361

"," 
"," {{convert|6850|kg|lb}}
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|November 23, 1983, 19:58:00|timezone=yes}}&nbsp;UTC
"," {{convert|160|km|mi}} E of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|201|km|mi}}
"," {{convert|229|km|mi}}
"," 51.6&nbsp;degrees
"," 88.6&nbsp;minutes
"," gee

"," 2
"," [[Vladimir Lyakhov]]<br/>[[Aleksandr Pavlovich Aleksandrov|Aleksandr Aleksandrov]]
"
95,Soyuz T-10,Soyuz_T-10,https://en.wikipedia.org/wiki/Soyuz_T-10," 
"," 62&nbsp;days, 22&nbsp;hours, 41&nbsp;minutes, 22&nbsp;seconds
","

"," 
"," {{convert|6850|kg|lb}}
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 31|31/6]]

"," {{end-date|11 April 1984, 10:48:48|timezone=yes}}&nbsp;UTC
"," 160 km E of [[Dzhezkazgan]]<br/>(145 km SE of Dzhezkazgan?){{citation needed|date=June 2013}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|199|km|mi}}
"," {{convert|219|km|mi}}
"," 51.6&nbsp;degrees
"," 88.7&nbsp;minutes
"," gee

"," 3
",NaN
96,Soyuz T-12,Soyuz_T-12,https://en.wikipedia.org/wiki/Soyuz_T-12," 
"," 11&nbsp;days, 19&nbsp;hours, 14&nbsp;minutes, 36&nbsp;seconds<ref name=EA-EP4>{{cite web|url=http://www.astronautix.com/flights/salt7ep4.htm|title=Salyut 7 EP-4|publisher=[[Encyclopedia Astronautica]]|accessdate=15 November 2010}}</ref>
"," 186

"," 
"," {{convert|7020|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 31|31/6]]

"," {{end-date|July 29, 1984, 12:55:30|timezone=yes}}&nbsp;UTC
"," {{convert|140|km|mi}} SE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|192|km|mi}}
"," {{convert|218|km|mi}}
"," 51.6&nbsp;degrees
"," 88.6&nbsp;minutes
"," gee

"," 3
"," [[Vladimir Dzhanibekov]]<br/>[[Svetlana Savitskaya]]<br/>[[Igor Volk]]
"
97,Soyuz T-13,Soyuz_T-13,https://en.wikipedia.org/wiki/Soyuz_T-13," 
"," 112&nbsp;days, 3&nbsp;hours, 12&nbsp;minutes, 6&nbsp;seconds  
"," 2,645

"," 
"," {{convert|6850|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|September 26, 1985, 09:51:58|timezone=yes}}&nbsp;UTC
","

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|198|km|mi}}
"," {{convert|222|km|mi}}
"," 51.6&nbsp;degrees
"," 88.7&nbsp;minutes
"," gee

"," 2
"," [[Vladimir Dzhanibekov]]
"
98,Soyuz T-15,Soyuz_T-15,https://en.wikipedia.org/wiki/Soyuz_T-15," 
"," 125&nbsp;days, 56&nbsp;seconds 
"," 1,980

"," 
"," {{convert|6850|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|16 July 1986, 12:34:05|timezone=yes}}&nbsp;UTC
"," {{convert|55|km|mi}} NE of [[Arkalyk]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|331|km|mi}}
"," {{convert|366|km|mi}}
"," 51.6&nbsp;degrees
"," 91.5&nbsp;minutes
"," gee

"," 2
"," [[Leonid Kizim]]<br/>[[Vladimir Solovyov (cosmonaut)|Vladimir Solovyov]]
"
99,Soyuz TM-2,Soyuz_TM-2,https://en.wikipedia.org/wiki/Soyuz_TM-2," 
"," 174&nbsp;days, 3&nbsp;hours, 25&nbsp;minutes, 56&nbsp;seconds 
"," ~2,810

"," 
"," {{convert|7100|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|30 July 1987, 01:04:12|timezone=yes}}&nbsp;UTC<ref name=EA-EP1>{{cite web|url=http://www.astronautix.com/flights/mirep1.htm|title=Mir EP-1|publisher=[[Encyclopedia Astronautica]]|accessdate=11 November 2010}}</ref>
"," {{convert|80|km|mi}} from [[Arkalyk]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|341|km|mi}}
"," {{convert|365|km|mi}}
"," 51.6&nbsp;degrees
"," 91.6&nbsp;minutes
"," gee

"," 2 up<br/>3 down
"," [[Aleksandr Laveykin]]
"
100,Soyuz TM-4,Soyuz_TM-4,https://en.wikipedia.org/wiki/Soyuz_TM-4," 
"," 178&nbsp;days, 22&nbsp;hours, 54&nbsp;minutes, 29&nbsp;seconds 
"," ~2,890

"," 
"," {{convert|7070|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|June 17, 1988, 10:12:32|timezone=yes}}&nbsp;UTC
"," {{convert|180|km|mi}} SE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|337|km|mi}}
"," {{convert|357|km|mi}}
"," 51.6&nbsp;degrees
"," 91.5&nbsp;minutes
"," gee

"," 3
",NaN
101,Soyuz TM-7,Soyuz_TM-7,https://en.wikipedia.org/wiki/Soyuz_TM-7," 
"," 151&nbsp;days, 11&nbsp;hours, 8&nbsp;minutes, 24&nbsp;seconds 
"," ~2,450

"," 
"," {{convert|7000|kg|lb}}
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|April 27, 1989, 02:57:58|timezone=yes}}&nbsp;UTC
"," {{convert|140|km|mi}} NE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|194|km|mi}}
"," {{convert|235|km|mi}}
"," 51.6&nbsp;degrees
"," 88.8&nbsp;minutes
"," gee

"," 3
"," [[Alexander Alexandrovich Volkov (cosmonaut)|Alexander Volkov]]<br/>[[Sergei Krikalyov]]
"
102,Soyuz TM-8,Soyuz_TM-8,https://en.wikipedia.org/wiki/Soyuz_TM-8," 
"," 166&nbsp;days, 6&nbsp;hours, 58&nbsp;minutes, 15&nbsp;seconds 
"," ~2,680

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
","

"," {{end-date|February 19, 1990, 04:36:18|timezone=yes}}&nbsp;UTC
"," {{convert|55|km|mi}} NE of [[Arkalyk]]<ref name=EA-EO5>{{cite web|url=http://www.astronautix.com/flights/mireo5.htm|title=Mir EO-5|publisher=[[Encyclopedia Astronautica]]|author=Mark Wade|accessdate=6 November 2010|deadurl=yes|archiveurl=https://web.archive.org/web/20070409191451/http://astronautix.com/flights/mireo5.htm|archivedate=9 April 2007|df=}}</ref>

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|390|km|mi}} 
"," {{convert|392|km|mi}} 
"," 51.6&nbsp;degrees
"," 92.4&nbsp;minutes
"," gee

"," 2
"," [[Alexander Viktorenko]]<br/>[[Aleksandr Serebrov]]
"
103,Soyuz TM-17,Soyuz_TM-17,https://en.wikipedia.org/wiki/Soyuz_TM-17," 
"," 196&nbsp;days, 17&nbsp;hours, 45&nbsp;minutes, 22&nbsp;seconds 
"," ~3,070

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
","

"," {{end-date|January 14, 1994, 08:18:20|timezone=yes}}&nbsp;UTC
"," {{coord|49.62|N|70.12|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|388|km|mi}} 
"," {{convert|397|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 3 up<br/>2 down
"," [[Vasili Tsibliyev]]<br/>[[Aleksandr Serebrov]]
"
104,Soyuz TM-9,Soyuz_TM-9,https://en.wikipedia.org/wiki/Soyuz_TM-9," 
"," 179&nbsp;days, 1&nbsp;hour, 17&nbsp;minutes, 57&nbsp;seconds 
"," ~2,895

"," 
"," {{convert|7150|kg|lb}}
","

"," [[Soyuz-U2]]
","

"," {{end-date|August 9, 1990, 07:33:57|timezone=yes}}&nbsp;UTC
"," {{convert|70|km|mi}} NE of [[Arkalyk]] - 50.85 N; 67.28 E

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|373|km|mi}}
"," {{convert|387|km|mi}}
"," 51.6&nbsp;degrees
"," 92.2&nbsp;minutes
"," gee

"," 2
"," [[Anatoly Solovyev]]<br/>[[Aleksandr Nikolayevich Balandin|Aleksandr Balandin]]
"
105,Soyuz TM-10,Soyuz-TM,https://en.wikipedia.org/wiki/Soyuz-TM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,Soyuz TM-11,Soyuz_TM-11,https://en.wikipedia.org/wiki/Soyuz_TM-11," 
"," 175&nbsp;days, 1&nbsp;hour, 50&nbsp;minutes, 41&nbsp;seconds 
"," ~2,735

"," 
"," {{convert|7150|kg|lb}}
","

"," [[Soyuz-U2]]
","

"," {{end-date|May 26, 1991, 10:04:13|timezone=yes}}&nbsp;UTC
"," near [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|367|km|mi}}
"," {{convert|400|km|mi}}
"," 51.6&nbsp;degrees
"," 92.2&nbsp;minutes
"," gee

"," 3
"," [[Viktor M. Afanasyev|Viktor Afanasyev]]<br/>[[Musa Manarov]]
"
107,Soyuz TM-12,Soyuz_TM-12,https://en.wikipedia.org/wiki/Soyuz_TM-12," 
"," 144&nbsp;days, 15&nbsp;hours, 21&nbsp;minutes, 50&nbsp;seconds 
"," ~2,260

"," 
"," {{convert|7160|kg|lb}}
","

"," [[Soyuz-U2]]
","

"," {{end-date|October 10, 1991, 04:12:18|timezone=yes}}&nbsp;UTC
"," {{convert|61|km|mi}} SW of [[Arkalyk]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|389|km|mi}}
"," {{convert|397|km|mi}}
"," 51.6&nbsp;degrees
"," 92.4&nbsp;minutes
"," gee

"," 3
"," [[Anatoly Artsebarsky]]
"
108,Soyuz TM-13,Soyuz_TM-13,https://en.wikipedia.org/wiki/Soyuz_TM-13," 
"," 175&nbsp;days, 2&nbsp;hours, 51&nbsp;minutes, 44&nbsp;seconds 
"," ~2,730

"," 
"," {{convert|7150|kg|lb}}
","

"," [[Soyuz-U2]]
","

"," {{end-date|March 25, 1992, 08:51:22|timezone=yes}}&nbsp;UTC
"," near [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|195|km|mi}}
"," {{convert|232|km|mi}}
"," 51.7&nbsp;degrees
"," 92.4&nbsp;minutes
"," gee

"," 3
"," [[Alexander Alexandrovich Volkov (cosmonaut)|Alexander Volkov]]
"
109,Soyuz TM-14,Soyuz_TM-14,https://en.wikipedia.org/wiki/Soyuz_TM-14," 
"," 145&nbsp;days, 14&nbsp;hours, 10&nbsp;minutes, 32&nbsp;seconds 
"," ~2,280

"," 
"," {{convert|7150|kg|lb}}
","

"," [[Soyuz-U2]]
","

"," {{end-date|August 10, 1992, 01:05:02|timezone=yes}}&nbsp;UTC
"," {{convert|136|km|mi}} SE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|373|km|mi}} 
"," {{convert|394|km|mi}} 
"," 51.6&nbsp;degrees
"," 92.2&nbsp;minutes
"," gee

"," 3
"," [[Alexander Viktorenko]]<br/>[[Alexander Kaleri]]
"
110,Soyuz TM-15,Soyuz_TM-15,https://en.wikipedia.org/wiki/Soyuz_TM-15," 
"," 188&nbsp;days, 21&nbsp;hours, 41&nbsp;minutes, 15&nbsp;seconds 
"," ~3,070

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
","

"," {{end-date|February 1, 1993, 03:49:57|timezone=yes}}&nbsp;UTC
"," near [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|196|km|mi}} 
"," {{convert|216|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 3 up<br/>2 down
"," [[Anatoly Solovyev]]<br/>[[Sergei Avdeyev]]
"
111,Soyuz TM-16,Soyuz_TM-16,https://en.wikipedia.org/wiki/Soyuz_TM-16," 
"," 179&nbsp;days, 43&nbsp;minutes, 45&nbsp;seconds 
"," ~2,790

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
","

"," {{end-date|July 22, 1993, 06:41:50|timezone=yes}}&nbsp;UTC
"," {{convert|140|km|mi}} S of  [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|393|km|mi}} 
"," {{convert|394|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 2 up<br/>3 down
"," [[Gennadi Manakov]]<br/>[[Alexander Poleshchuk]]
"
112,Soyuz TM-18,Soyuz_TM-18,https://en.wikipedia.org/wiki/Soyuz_TM-18," [[Mir]] crew transport
"," 182&nbsp;days, 27&nbsp;minutes, 1&nbsp;second 
"," ~2,910

"," Soyuz 7K-STM No. 67
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|July 9, 1994, 10:32:35|timezone=yes}}&nbsp;UTC
"," {{convert|110|km|mi}} north of [[Arkalyk]]

"," 7 February 1994{{convert|390|km|mi}}<ref name=""satcat"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=9 November 2013}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|384|km|mi}}
"," {{convert|390|km|mi}} 
"," 51.6&nbsp;degrees
"," 92.29&nbsp;minutes
"," gee

"," 3 up<br/>2 down
"," [[Viktor M. Afanasyev|Viktor Afanasyev]]<br/>[[Yury Usachov]]
"
113,Soyuz TM-19,Soyuz_TM-19,https://en.wikipedia.org/wiki/Soyuz_TM-19," [[Mir]] crew transport
"," 125&nbsp;days, 22&nbsp;hours, 53&nbsp;minutes, 36&nbsp;seconds 
"," 1,993

"," Soyuz 7K-STM No.68<ref name=""launchlog"">{{cite web|url=http://planet4589.org/space/log/launchlog.txt|title=Launch Log|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=9 November 2013}}</ref>
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|November 4, 1994, 11:18:26|timezone=yes}}&nbsp;UTC
"," {{convert|88|km|mi}} northeast of [[Arkalyk]]

"," 31 July 1994<ref name=""satcat"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=9 November 2013}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|396|km|mi}}
"," {{convert|397|km|mi}} 
"," 51.6&nbsp;degrees
"," 92.48&nbsp;minutes
"," gee

"," 2 up<br/>3 down
"," [[Yuri Malenchenko]]<br/>[[Talgat Musabayev]]
"
