,EVA #,Country,Crew,Vehicle,Date,Duration,Purpose ,was_moonshot,crew_0,crew_1,crew_2,spacewalk_duration_in_seconds,EVA_start_year,EVA_start_month,EVA_start_day,mission_type,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,orbit_completed,duration_months,duration_days,duration_hours,duration_minutes,duration_seconds,total_duration_in_seconds
10,11.0,USA,David Scott,Apollo 9,3/6/1969,0:47,Standup EVA from crew module.  Retrieved thermal experiment samples,False,David Scott,NaN,NaN,2820,1969,3,6,Apollo,126.75972275999999,308.82148143,33.8,91.55,0.0,0.0,10.0,1.0,0.0,54.0,867654.0
11,12.0,USA,Russ Schweickart,Apollo 9,3/6/1969,0:51,Lunar module based.  Took photos.  Evaluated foot restraint and handrails.  Retrieved thermal experiment samples.  First use of PLSS followed by recharge demo after EVA,False,Russ Schweickart,NaN,NaN,3060,1969,3,6,Apollo,126.75972275999999,308.82148143,33.8,91.55,0.0,0.0,10.0,1.0,0.0,54.0,867654.0
12,13.0,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,7/20/1969,2:32,First to walk on the moon.  Some trouble getting out small hatch.  46.3 lb of geologic material collected.  EASEP seismograph and laser reflector exp deployed.  Solar wind exp deployed & retrieved.  400 ft (120m) circuit on foot.  Dust issue post EVA,True,Neil Armstrong,Buzz Aldrin,NaN,9120,1969,7,20,Apollo,,,,,,,,,,,
13,14.0,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,7/20/1969,0:05,Jettison suit backpacks and equip to lighten ascent,True,Neil Armstrong,Buzz Aldrin,NaN,300,1969,7,20,Apollo,,,,,,,,,,,
14,15.0,USA,Allen Bean               Pete Conrad,Apollo 12,11/19/1969,3:39,Collected 75.6 lb of geologic material.  ALSEP exp deployed.  6000 ft (1800m) circuit on foot,True,Allen Bean,Pete Conrad,NaN,13140,1969,11,19,Apollo,,,,,,,,,,,
15,16.0,USA,Allen Bean               Pete Conrad,Apollo 12,11/20/1969,3:48,Retrieved parts of Surveyor 3 spacecraft.   ,True,Allen Bean,Pete Conrad,NaN,13680,1969,11,20,Apollo,,,,,,,,,,,
16,17.0,USA,Allen Bean               Pete Conrad,Apollo 12,11/20/1969,0:05,Jettison suit backpacks and equip to lighten ascent,True,Allen Bean,Pete Conrad,NaN,300,1969,11,20,Apollo,,,,,,,,,,,
17,18.0,USA,Ed Mitchell           Alan Shepard,Apollo 14,2/5/1971,4:48,Collected 94.4 lb of geologic material.  ALSEP and laser reflector exp deployed.  Hiked up to 0.9 miles (1.5km) from lunar module.  Used MET rickshaw,True,Ed Mitchell,Alan Shepard,NaN,17280,1971,2,5,Apollo,,,,,,,,,,,
18,19.0,USA,Ed Mitchell           Alan Shepard,Apollo 14,2/6/1971,4:34,Sought but did not quite reach crater.  Golf demo,True,Ed Mitchell,Alan Shepard,NaN,16440,1971,2,6,Apollo,,,,,,,,,,,
19,20.0,USA,Ed Mitchell           Alan Shepard,Apollo 14,2/6/1971,0:05,Jettison suit backpacks and equip to lighten ascent,True,Ed Mitchell,Alan Shepard,NaN,300,1971,2,6,Apollo,,,,,,,,,,,
20,21.0,USA,David Scott,Apollo 15,7/30/1971,0:33,Standup EVA to scout and photograph lunar surface before traverse,True,David Scott,NaN,NaN,1980,1971,7,30,Apollo,,,,,,,,,,,
21,22.0,USA,David Scott                   James Irwin,Apollo 15,7/31/1971,6:34,Collected 169 lb of geologic material.  ALSEP exp deployed.  First use of the lunar rover.  Covered 6.2 mile (10.3 km) circuit,True,David Scott,James Irwin,NaN,23640,1971,7,31,Apollo,,,,,,,,,,,
22,23.0,USA,David Scott                   James Irwin,Apollo 15,8/1/1971,7:12,,True,David Scott,James Irwin,NaN,25920,1971,8,1,Apollo,,,,,,,,,,,
23,24.0,USA,David Scott                   James Irwin,Apollo 15,8/2/1971,4:49,,True,David Scott,James Irwin,NaN,17340,1971,8,2,Apollo,,,,,,,,,,,
24,25.0,USA,David Scott                   James Irwin,Apollo 15,8/2/1971,0:05,Jettison suit backpacks and equip to lighten ascent,True,David Scott,James Irwin,NaN,300,1971,8,2,Apollo,,,,,,,,,,,
25,26.0,USA,Al Worden,Apollo 15,8/5/1971,0:39,First transearth EVA.  Retrieved 2 camera film cassettes,True,Al Worden,NaN,NaN,2340,1971,8,5,Apollo,,,,,,,,,,,
26,27.0,USA,John Young        Charles Duke,Apollo 16,4/21/1972,7:11,Collected 208 lb of rock/dust (41lb this day). ALSEP & solar wind experiments deployed. Assembled and used lunar rover (4.2 km).  ,True,John Young,Charles Duke,NaN,25860,1972,4,21,Apollo,,,,,,,,,,,
27,28.0,USA,John Young        Charles Duke,Apollo 16,4/22/1972,7:23,Collected 82 lb of rock/dust. Drove rover 11.5 km,True,John Young,Charles Duke,NaN,26580,1972,4,22,Apollo,,,,,,,,,,,
28,29.0,USA,John Young        Charles Duke,Apollo 16,4/23/1972,5:40,Collected 90 lb of rock/dust.  Drove rover 27.1 km,True,John Young,Charles Duke,NaN,20400,1972,4,23,Apollo,,,,,,,,,,,
29,30.0,USA,John Young        Charles Duke,Apollo 16,4/23/1972,0:04,Jettison suit backpacks and equip to lighten ascent,True,John Young,Charles Duke,NaN,240,1972,4,23,Apollo,,,,,,,,,,,
30,31.0,USA,Tom Mattingly,Apollo 16,4/25/1972,1:23,Transearth EVA to retrieve camera film and expose microbial response experiment,True,Tom Mattingly,NaN,NaN,4980,1972,4,25,Apollo,,,,,,,,,,,
31,32.0,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/11/1972,7:12,Collected 243 lb of geologic material.  ALSEP exp deployed.   8 seismic explosive charges placed for later use.  Used lunar rover to travel 11.4 miles (19 km) circuit with max range of 4.9 miles from lunar module.,True,Harrison Schmidt,Eugene Cernan,NaN,25920,1972,12,11,Apollo,,,,,,,,,,,
32,33.0,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/12/1972,7:37,,True,Harrison Schmidt,Eugene Cernan,NaN,27420,1972,12,12,Apollo,,,,,,,,,,,
33,34.0,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/13/1972,7:16,,True,Harrison Schmidt,Eugene Cernan,NaN,26160,1972,12,13,Apollo,,,,,,,,,,,
34,35.0,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/13/1972,0:08,Jettison suit backpacks and equip to lighten ascent,True,Harrison Schmidt,Eugene Cernan,NaN,480,1972,12,13,Apollo,,,,,,,,,,,
35,36.0,USA,Ron Evans,Apollo 17,12/17/1972,1:07,Transearth EVA to retrieve camera film,True,Ron Evans,NaN,NaN,4020,1972,12,17,Apollo,,,,,,,,,,,
36,37.0,USA,Paul Weitz           Joe Kerwin,Skylab 2,5/25/1973,0:40,"Standup EVA.  While based in hatch of just arrived hovering spacecraft, failed to pull/pry free solar panel held by cm wide scrap of MMOD shield",False,Paul Weitz,Joe Kerwin,NaN,2400,1973,5,25,Skylab,265.94686931999996,272.16058122,50.0,93.2,404.0,0.0,28.0,0.0,49.0,49.0,2422189.0
37,,USA,Paul Weitz           Joe Kerwin      Pete Conrad,Skylab 2,5/25/1973,0:00,"After normal docking failed, all donned suits, depressurized spacecraft, opened forward tunnel hatch and removed the docking probe's back plate to bypass some electrical connections",False,Paul Weitz,Joe Kerwin,Pete Conrad,0,1973,5,25,Skylab,265.94686931999996,272.16058122,50.0,93.2,404.0,0.0,28.0,0.0,49.0,49.0,2422189.0
38,38.0,USA,Pete Conrad           Joe Kerwin,Skylab 2,6/7/1973,3:25,"Without body restraint, initially unable to attach 25ft pole/cutter jaws to aluminum scrap holding jammed solar panel.  Improvised body restraint with suit tether to unexpected vehicle U bolt for 3 pt stance to enable pole positioning and cut.  After debris cut, attached pole as translation path to solar array.  Rope hooked between airlock solar array cover structure as means to overcome frozen hydraulic damper of solar array hinge.  Both crew stood under rope and pushed until array freed suddenly which caused both crew to drift free until hauled themselves back in via umbilicals.  Hardest task was restowing umbilicals into stow sphere at end of day",False,Pete Conrad,Joe Kerwin,NaN,12300,1973,6,7,Skylab,265.94686931999996,272.16058122,50.0,93.2,404.0,0.0,28.0,0.0,49.0,49.0,2422189.0
39,39.0,USA,Pete Conrad            Paul Weitz,Skylab 2,6/19/1973,1:36,Retrieved Apollo Telescope Mount film and repaired power module relay with hammer blow.  Cleaned camera lens,False,Pete Conrad,Paul Weitz,NaN,5760,1973,6,19,Skylab,265.94686931999996,272.16058122,50.0,93.2,404.0,0.0,28.0,0.0,49.0,49.0,2422189.0
40,40.0,USA,Owen Garriott          Jack Lousma,Skylab 3,8/6/1973,6:31,Constructed/deployed twin-pole thermal shield to reduce internal spacecraft temperatures.  Loaded telescope camera with film.  Inspected previously leaking thrusters.  Restored telescope door motion and deployed meteroid sampling exp,False,Owen Garriott,Jack Lousma,NaN,23460,1973,8,6,Skylab,262.84001337,274.02469478999996,50.0,93.2,858.0,0.0,59.0,11.0,9.0,1.0,5137741.0
41,41.0,USA,Owen Garriott          Jack Lousma,Skylab 3,8/24/1973,4:31,Installed cable for backup gyro package.  Exchanged telescope camera film.  Deployed parasol samples,False,Owen Garriott,Jack Lousma,NaN,16260,1973,8,24,Skylab,262.84001337,274.02469478999996,50.0,93.2,858.0,0.0,59.0,11.0,9.0,1.0,5137741.0
42,42.0,USA,Owen Garriott         Allen Bean,Skylab 3,9/22/1973,2:41,"Recovered telescope camera film, material samples and meteroid exp.  Cleaned camera lens",False,Owen Garriott,Allen Bean,NaN,9660,1973,9,22,Skylab,262.84001337,274.02469478999996,50.0,93.2,858.0,0.0,59.0,11.0,9.0,1.0,5137741.0
43,43.0,USA,Ed Gibson                   Bill Pogue,Skylab 4,11/22/1973,6:33,Photographed earth atmosphere.  Deployed spacecraft contamination measurement exp.  Reloaded telescope camera film.  Repaired microwave sensor antenna.  Pinned open telescope door.  Retrieved meteroid sample collector,False,Ed Gibson,Bill Pogue,NaN,23580,1973,11,22,Skylab,262.21864217999996,271.53921003,50.0,93.11,1214.0,0.0,84.0,1.0,15.0,30.0,7262130.0
44,44.0,USA,Gerald Carr                Bill Pogue,Skylab 4,12/25/1973,7:01,"Photographed comet Kohoutek, reloaded telescope camera film, pinned open failed solar UV exp door.  Installed solar UV/X-Ray camera.  Repositioned jammed filter wheel in x-ray telescope",False,Gerald Carr,Bill Pogue,NaN,25260,1973,12,25,Skylab,262.21864217999996,271.53921003,50.0,93.11,1214.0,0.0,84.0,1.0,15.0,30.0,7262130.0
45,45.0,USA,Gerald Carr                 Ed Gibson ,Skylab 4,12/29/1973,3:29,Photographed comet Kohoutek.  Retrieved sample of meteroid protection cover,False,Gerald Carr,Ed Gibson,NaN,12540,1973,12,29,Skylab,262.21864217999996,271.53921003,50.0,93.11,1214.0,0.0,84.0,1.0,15.0,30.0,7262130.0
46,46.0,USA,Gerald Carr                 Ed Gibson ,Skylab 4,2/3/1974,5:19,Retrieved telescope camera film and installed meteroid collection experiment. Gibson reported coolant leakage from EVA life support system,False,Gerald Carr,Ed Gibson,NaN,19140,1974,2,3,Skylab,262.21864217999996,271.53921003,50.0,93.11,1214.0,0.0,84.0,1.0,15.0,30.0,7262130.0
47,,USA,Bill Lenoir                 Joe Allen,STS-5,11/14/1982,0:00,Suit fan and O2 regulator failures prevented first Shuttle EVA.  No spare suit onboard,False,Bill Lenoir,Joe Allen,NaN,0,1982,11,14,STS,182.68312985999998,196.97466723,28.5,90.5,81.0,0.0,5.0,2.0,14.0,26.0,440066.0
48,47.0,USA,Story Musgrave       Don Peterson,STS-6,4/7/1983,4:17,First shuttle EVA.  New suits tested.  Basic orbiter/payload contingency tasks practiced.  Winch failed to retract,False,Story Musgrave,Don Peterson,NaN,15420,1983,4,7,STS,178.95490271999998,183.30450105,28.5,90.4,81.0,0.0,5.0,0.0,23.0,42.0,433422.0
49,48.0,USA,Bob Stewart        Bruce McCandless,STS-41B,2/7/1984,5:56,Practiced Solar Max repair. Used MMU and MFR for first time.  PLB camera D changed out.  Slidewire bracket pip-pin pulled free by crew tether inadvertantly.  SPAS switch adjusted,False,Bob Stewart,Bruce McCandless,NaN,21360,1984,2,7,STS,191.0293887,196.78328595,28.5,90.8,128.0,0.0,7.0,23.0,15.0,55.0,688555.0
50,49.0,USA,Bob Stewart        Bruce McCandless,STS-41B,2/9/1984,6:09,Practiced MMU docking with fixed target.  Simple satellite refueling demo (freon).  Foot restraint lost overboard and recovered.  ,False,Bob Stewart,Bruce McCandless,NaN,22140,1984,2,9,STS,191.0293887,196.78328595,28.5,90.8,128.0,0.0,7.0,23.0,15.0,55.0,688555.0
51,50.0,USA,James Van Hoften      George Nelson,STS-41C,4/8/1984,2:53,Failed to dock MMU to Solar Max satellite due to thermal grommet interference.  Manual grasp of solar array increased satellite instability ,False,James Van Hoften,George Nelson,NaN,10380,1984,4,8,STS,138.0,291.0,28.5,91.4,108.0,0.0,6.0,23.0,40.0,7.0,603607.0
52,51.0,USA,James Van Hoften      George Nelson,STS-41C,4/11/1984,7:05,"After ground cmd stabilization and RMS grapple, Solar Max repaired (attitude control and main elec boxes replaced, MEB not designed for replacement).  Small trash bag lost due to inadvertment release of MWS lock.  MMU engineering test performed",False,James Van Hoften,George Nelson,NaN,25500,1984,4,11,STS,138.0,291.0,28.5,91.4,108.0,0.0,6.0,23.0,40.0,7.0,603607.0
53,52.0,USA,Dave Leestma          Kathy Sullivan,STS-41G,10/11/1984,3:29,First U.S. female EVA.  Demonstrated hydrazine refueling.  Aligned gimbals of Ku antenna  for IV commanded locking.  SIRB latching assisted.  Recovered lost airlock valve cap.  ,False,Dave Leestma,Kathy Sullivan,NaN,12540,1984,10,11,STS,218.0,243.0,57.0,92.0,133.0,0.0,8.0,5.0,23.0,33.0,710613.0
54,53.0,USA,Joe Allen                    Dale Gardner,STS-51A,11/12/1984,6:02,PALAPA retrieval.  MMU used.  Had to use manual satellite restraint when structure with RMS grapple fixture failed to attach due to unexpected structure on satellite.,False,Joe Allen,Dale Gardner,NaN,21720,1984,11,12,STS,205.98952154999998,219.79887495,28.4,90.4,127.0,0.0,7.0,23.0,44.0,56.0,690296.0
55,54.0,USA,Joe Allen                    Dale Gardner,STS-51A,11/14/1984,5:48,WESTAR retrieval.  MMU used.  Recovered untethered torque wrench (twice) and draeger tube (once).  Lost power tool,False,Joe Allen,Dale Gardner,NaN,20880,1984,11,14,STS,205.98952154999998,219.79887495,28.4,90.4,127.0,0.0,7.0,23.0,44.0,56.0,690296.0
56,55.0,USA,Dave Griggs           Jeff Hoffman,STS-51D,4/16/1985,3:10,"""Flyswatter"" attached to end of RMS to attempt to activate LEASAT/SYNCOM IV sequence start lever.  Lever tripped but satellite was actually failed elsewhere.  Griggs inadvertently went out over wing",False,Dave Griggs,Jeff Hoffman,NaN,11400,1985,4,16,STS,205.98952154999998,219.79887495,28.4,90.4,127.0,0.0,7.0,23.0,44.0,56.0,690296.0
57,56.0,USA,James Van Hoften   Bill Fisher,STS-51I,8/31/1985,7:09,LEASAT/SYNCOM IV repairs started.  RMS failure to single joint mode forced second EVA.  Lost power tool overboard.,False,James Van Hoften,Bill Fisher,NaN,25740,1985,8,31,STS,220.0,289.0,28.45,92.0,112.0,0.0,7.0,2.0,17.0,42.0,613062.0
58,57.0,USA,James Van Hoften   Bill Fisher,STS-51I,9/1/1985,4:29,LEASAT/SYNCOM IV repairs completed.  Accidently reused depleted LiOH cans from 1st EVA.,False,James Van Hoften,Bill Fisher,NaN,16140,1985,9,1,STS,220.0,289.0,28.45,92.0,112.0,0.0,7.0,2.0,17.0,42.0,613062.0
59,58.0,USA,Jerry Ross             Woody Spring,STS-61B,11/29/1985,5:38,EASE/ACCESS truss assembly and stowage demos.  Deployed radar target,False,Jerry Ross,Woody Spring,NaN,20280,1985,11,29,STS,224.31499958999999,229.9073403,28.5,91.9,109.0,0.0,6.0,21.0,4.0,49.0,594289.0
60,59.0,USA,Jerry Ross             Woody Spring,STS-61B,12/1/1985,6:48,"EASE/ACCESS truss assembly, stowage and handling demos.  Simulated cable routing with rope reel and heat pipe handling with free EASE beams.",False,Jerry Ross,Woody Spring,NaN,24480,1985,12,1,STS,224.31499958999999,229.9073403,28.5,91.9,109.0,0.0,6.0,21.0,4.0,49.0,594289.0
61,,USA,Bruce McCandless   Kathy Sullivan,STS-31,4/24/1990,0:00,In suits in airlock at 5psi awaiting GO to manually deploy stuck solar array.  Waived off when auto sys worked,False,Bruce McCandless,Kathy Sullivan,NaN,0,1990,4,24,STS,363.50214615,382.14328185,28.45,96.7,80.0,0.0,5.0,1.0,16.0,6.0,436566.0
62,60.0,USA,Jerry Ross                  Jay Apt,STS-37,4/7/1991,4:26,"Freed stuck GRO high gain antenna. Started Space Station demos (recorded crew loads, variable tension rope translation, dogbone handrails).",False,Jerry Ross,Jay Apt,NaN,15960,1991,4,7,STS,279.6170355,287.07348978,28.45,93.7,93.0,0.0,5.0,23.0,32.0,44.0,516764.0
63,61.0,USA,Jerry Ross                  Jay Apt,STS-37,4/8/1991,6:00,"More Space Station demos (evals of 3 different carts and a tether shuttle, RMS translation rates and loads).  Time short for all RMS/EVA tests",False,Jerry Ross,Jay Apt,NaN,21600,1991,4,8,STS,279.6170355,287.07348978,28.45,93.7,93.0,0.0,5.0,23.0,32.0,44.0,516764.0
64,62.0,USA,Pierre Thuot          Rick Hieb,STS-49,5/10/1992,3:43,Capture bar/grapple fixture attach failed 3 times,False,Pierre Thuot,Rick Hieb,NaN,13380,1992,5,10,STS,166.52747892,211.88757579,28.35,90.6,141.0,0.0,8.0,21.0,17.0,38.0,767858.0
65,63.0,USA,Pierre Thuot          Rick Hieb,STS-49,5/11/1992,5:30,"Though more careful to induce less loads, capture bar/grapple fixture attach failed 5 times",False,Pierre Thuot,Rick Hieb,NaN,19800,1992,5,11,STS,166.52747892,211.88757579,28.35,90.6,141.0,0.0,8.0,21.0,17.0,38.0,767858.0
66,64.0,USA,Thuot/Hieb/Akers,STS-49,5/13/1992,8:29,3 man EVA.  Manually capture/repair INTELSAT,False,Thuot/Hieb/Akers,NaN,NaN,30540,1992,5,13,STS,166.52747892,211.88757579,28.35,90.6,141.0,0.0,8.0,21.0,17.0,38.0,767858.0
67,65.0,USA,Tom Akers          Kathy Thornton,STS-49,5/14/1992,7:44,"ASEM Space Station assembly demos (module to truss mating, updated HHMU self rescue device).  Aligned gimbals of Ku antenna for IV commanded locking ",False,Tom Akers,Kathy Thornton,NaN,27840,1992,5,14,STS,166.52747892,211.88757579,28.35,90.6,141.0,0.0,8.0,21.0,17.0,38.0,767858.0
68,66.0,USA,Greg Harbaugh      Mario Runco,STS-54,1/17/1993,4:28,Evaluate training vs. flight differences (DTO 1210).   Encumbered translations.  Foot restraint ingress.  Inspected/avoided misfired IUS tilt table superzip.  Almost lost untethered IUS tilt table equipment.,False,Greg Harbaugh,Mario Runco,NaN,16080,1993,1,17,STS,187.65409938,192.00369770999998,28.45,90.6,96.0,0.0,5.0,23.0,38.0,19.0,517099.0
69,67.0,USA,David Low                Jeff Wisoff,STS-57,6/25/1993,5:50,"First egress/ingress involving tunnel adapter.  Pushed on 2 EURECA antennas to aid stowage.  Evaluated training vs. flight differences (DTO 1210, large mass handling from RMS, high torque bolts, ORU fine align from RMS with active orbiter jets)  ",False,David Low,Jeff Wisoff,NaN,21000,1993,6,25,STS,249.79121837999998,292.66583048999996,28.45,93.3,155.0,0.0,9.0,23.0,44.0,54.0,863094.0
70,68.0,USA,Carl Walz                 Jim Newman ,STS-51,9/16/1993,7:05,Evaluate training vs. flight differences (DTO 1210).  Evaluated HST servicing mission tools.  Tool box door jammed temporarily preventing closure,False,Carl Walz,Jim Newman,NaN,25500,1993,9,16,STS,205.98952154999998,219.79887495,28.4,90.4,127.0,0.0,7.0,23.0,44.0,56.0,690296.0
71,69.0,USA,Story Musgrave      Jeff Hoffman ,STS-61,12/4/1993,7:54,"HST servicing (RSU, ECU, solar array prep).  RSU bay doors difficult to close.",False,Story Musgrave,Jeff Hoffman,NaN,28440,1993,12,4,STS,180.81901628999998,357.90980543999996,28.45,93.3,163.0,0.0,10.0,19.0,58.0,37.0,935917.0
72,70.0,USA,Tom Akers          Kathy Thornton,STS-61,12/5/1993,6:36,HST servicing (2 solar arrays).   One jettisoned due to pre-EVA damage,False,Tom Akers,Kathy Thornton,NaN,23760,1993,12,5,STS,180.81901628999998,357.90980543999996,28.45,93.3,163.0,0.0,10.0,19.0,58.0,37.0,935917.0
73,71.0,USA,Story Musgrave      Jeff Hoffman ,STS-61,12/6/1993,6:47,HST servicing (WFPC 1/2),False,Story Musgrave,Jeff Hoffman,NaN,24420,1993,12,6,STS,180.81901628999998,357.90980543999996,28.45,93.3,163.0,0.0,10.0,19.0,58.0,37.0,935917.0
74,72.0,USA,Tom Akers          Kathy Thornton,STS-61,12/7/1993,6:50,HST servicing (HSP/COSTAR),False,Tom Akers,Kathy Thornton,NaN,24600,1993,12,7,STS,180.81901628999998,357.90980543999996,28.45,93.3,163.0,0.0,10.0,19.0,58.0,37.0,935917.0
75,73.0,USA,Story Musgrave      Jeff Hoffman ,STS-61,12/8/1993,7:21,"HST servicing (SADE, magnetometers, GHRS)",False,Story Musgrave,Jeff Hoffman,NaN,26460,1993,12,8,STS,180.81901628999998,357.90980543999996,28.45,93.3,163.0,0.0,10.0,19.0,58.0,37.0,935917.0
76,74.0,USA,Mark Lee                Carl Meade ,STS-64,9/16/1994,6:51,"SAFER self rescue demo, test new tools",False,Mark Lee,Carl Meade,NaN,24660,1994,9,16,STS,160.93513821,167.14885010999998,56.9,89.5,176.0,0.0,10.0,22.0,49.0,57.0,946197.0
77,75.0,USA,Mike Foale        Bernard Harris,STS-63,2/9/1995,4:39,"Cold environment eval, large object handling eval using SPARTAN (EDFT-01)",False,Mike Foale,Bernard Harris,NaN,16740,1995,2,9,STS,170.87707724999999,212.50894698,51.6,92.3,129.0,0.0,8.0,6.0,28.0,15.0,714495.0
78,76.0,USA,Jim Voss                  Mike Gernhardt,STS-69,9/16/1995,6:46,ISS task board with worksite interface samples.  Elec cuff checklist demo.  Thermal cube experiment,False,Jim Voss,Mike Gernhardt,NaN,24360,1995,9,16,STS,199.46015198999999,199.46015198999999,28.4,91.4,171.0,0.0,10.0,20.0,29.0,56.0,937796.0
79,77.0,USA,Leroy Chiao               Dan Barry,STS-72,"Jan. 15, 1996",6:09,ISS umbilical tests with robotically transported portable work platform.  Elec cuff checklist demo.  ,False,Leroy Chiao,Dan Barry,NaN,22140,1996,1,15,STS,114.95367015,292.04445929999997,28.45,91.1,142.0,0.0,8.0,22.0,1.0,47.0,770507.0
80,78.0,USA,Leroy Chiao          Winston Scott,STS-72,"Jan. 17, 1996",6:53,"ISS thermal comfort test, cable tray test, APFR load test.  Thermal cube experiment",False,Leroy Chiao,Winston Scott,NaN,24780,1996,1,17,STS,114.95367015,292.04445929999997,28.45,91.1,142.0,0.0,8.0,22.0,1.0,47.0,770507.0
81,79.0,USA,Linda Godwin           Rich Clifford,STS-76,"Mar. 27, 1996",6:03,Deploy 4 MEEP materials experiments on Mir docking module.  Test US/Russian tether and PFR.  Retrieve camera from docking module exterior,False,Linda Godwin,Rich Clifford,NaN,21780,1996,3,27,STS,241.71339290999998,255.38355908999998,51.6,92.5,145.0,0.0,9.0,5.0,16.0,48.0,796608.0
82,,USA,Tom Jones       Tammy Jernigan,STS-80,"Nov. 29, 1996",0:00,Loose screw jammed in hatch latch actuator prevented airlock egress,False,Tom Jones,Tammy Jernigan,NaN,0,1996,11,29,STS,197.59603841999999,233.01419625,28.45,91.5,279.0,0.0,17.0,15.0,53.0,18.0,1525998.0
83,80.0,USA,Mark Lee               Steve Smith,STS-82,"Feb. 13, 1997",6:42,"HST servicing (first STS external airlock sortie, depress gas flow disturbed HST solar arrays, remove/install GHRS/STIS, FOS/NICMOS )",False,Mark Lee,Steve Smith,NaN,24120,1997,2,13,STS,295.15131525,356.66706306,28.4698,95.2,149.0,0.0,9.0,23.0,38.0,9.0,862689.0
